serialNum,search_url,url,name_eng,name,genres,length,year,imdb_score,downloads,producer,actors
5923,http://www.torec.net/movies_subs.asp?p=582,http://www.torec.net/sub.asp?sub_id=5923,Jestem (I Am),אני,זר,93,2005,7.9,232,דורותי קדזירזאווסקאיה,פיוטר יגלסקי;אנגיצקה נגורזיקה;אדיטה יונגובסקה
6057,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6057,Trespassers,מסיגי גבול,אימה,83,2006,3.9,544,איאן מקרדן,מישל בורת';ג'וליי פולסונתי;אלכס פלדמן;קאיווי לימן;ג'ון אדה;קלייטון רונר
6067,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6067,Chris Rock: Never Scared,כריס רוק: אף פעם לא מפחד,קומדיה;סטנד-אפ,80,2004,7.9,899,ג'ואל גאלן,כריס רוק
6061,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6061,Little Man,איש קטן,קומדיה,90,2006,3.4,"2,439",קינן אייבורי וואיינס,שון וואיינס;מרלון וואיינס;טרייסי מורגן;קרי וושינגטון;ג'ון וויתרספון;לוקלין מונרו;בריטני דניאל;דייב שרידן;צ'אז פלמינטרי;אלכס בורשטיין;מולי שאנון
6062,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6062,There's Something About Mary,משתגעים על מרי,קומדיה,118,1998,7.2,"1,243","בובי פארלי, פיטר פארלי",בן סטילר;כריס אליוט;מאט דילון;לי אוונס;קמרון דיאז
6068,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6068,‏!The Naked Gun: From the Files of Police Squad,האקדח מת מצחוק,קומדיה;פארודיה;פעולה;פשע,85,1988,7.6,"1,245",דייויד צוקר,לסלי נילסן;פריסילה פרסלי;ריקרדו מונטלבן;ג'ורג' קנדי;או.ג'יי סימפסון;אל 'המוזר' יאנקוביק
6069,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6069,The Last Shot,הצילום האחרון,קומדיה פרועה,93,2004,5.7,236,ג'ף נתנסון,מתיו ברודריק;אלק בולדווין;טוני קולט;טוני שלהוב;קליסטה פלוקהארט;ריי ליוטה;טים בלייק נלסון;איאן גומז;באק הנרי
6074,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6074,All About My Mother,הכל אודות אמא,דרמה,101,1999,7.8,"1,138",פדרו אלמודובר,סציליה רות';מריסה פרדס
6075,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6075,Hope Floats,משב של תקווה,דרמה;רומנטיקה,114,1998,5.3,181,פורסט וויטיקר,סנדרה בולוק;הנרי קוניק;ג'ינה רולנדס
6100,http://www.torec.net/movies_subs.asp?p=578,http://www.torec.net/sub.asp?sub_id=6100,Monster House,מפלצת של בית,אנימציה;מיסתורין;קומדיה;משפחה;פנטזיה,91,2006,6.8,945,גיל קינן,סטיב בושמי;מגי ג'ילנהול;ג'ייסון לי;קווין ג'יימס;פרד ווילרד;ג'ון הדר;קת'לין טרנר
